id,title,company,city,salary_min,salary_max,days_posted,title_short,seniority
11884175,Elektroniker | Elektriker als Servicetechniker Gebäudetechnik m/w/d,SPIE Efficient Facilities GmbH,München (Schwabing-Freimann),35000,50000,7,,
12327137,Elektroniker als Servicetechniker m/w/d,SPIE Efficient Facilities GmbH,München Otto-Hahn-Ring,37000,61000,14,,
12327901,Elektroniker / Elektriker als Servicetechniker für Kaffeevollautomaten (m/w/d) Region Bremen (Süd),Kaffee Partner GmbH,Bremen,37000,55000,14,,
12279494,Senior Business Analyst (m/w/d),FNZ Deutschland Technologie GmbH,Sulzbach am Taunus bei Frankfurt am Main,55000,80000,7,Business analyst,Senior
12277453,Data Privacy Coordinator (gn) International Team,Control Expert GmbH,Düsseldorf,40000,56000,7,,Intern
12181026,Duales Studium B.A. / Schwerpunkt Audit & Advisory (m/w/d),Baker Tilly,München,,,7,,
11706466,Softwaretester:in (m/w/d),BMS Corporate Solutions GmbH,"Düsseldorf, bundesweit",42000,61000,14,,
12349072,ERP-Berater/Software Consultant (m/w/d),HAPEKO Deutschland GmbH,Dortmund,52000,71000,7,,
12234938,OT-Security-Engineer für Offshore-Netzanbindungsprojekte (m/w/d),Amprion GmbH,"Dortmund, Hamburg",61000,85000,14,,
12235688,Senior Embedded Software Tester (m/w/d) Firmware Medizintechnik,Löwenstein Medical Technology GmbH + Co. KG,Hamburg,50000,68000,14,,Senior
12333429,Senior Business Analyst (m/w/d) Vertriebssysteme,Concordia Versicherungsgesellschaft a. G.,Hannover,62000,83000,7,Business analyst,Senior
11830579,Software Tester (m/w/d),Computer Futures,"Hamburg, Frankfurt, München, Hannover, Köln, Berlin, Düsseldorf, Stuttgart",60000,85000,14,,
12291035,Senior Data Warehouse Developer (m/w/d),IDS GmbH - Analysis and Reporting Services,München,73000,96000,7,,Senior
11624130,Mathematiker / Physiker / Informatiker als Softwaretester (m/w/d),CETEQ GmbH,"Wuppertal, Düsseldorf, Köln, Bonn, Duisburg, Dortmund, Essen, Bochum, Mönchengladbach",41000,74000,14,,
12365490,Data Manager (w/m/d) Group Real Estate,Rhenus Group,Holzwickede,52000,72000,7,,
12358533,Quality Control - Lab Analyst (m/w/d) MPN Saal,MPN Medizin Produkte Neustadt GmbH,Saal an der Donau,39000,56000,7,,
12358856,Lead - Tech Analysts (m/w/d),Deutsche Kreditbank AG (DKB),Berlin,77000,103000,7,,Lead
11986599,Senior Business Analyst mit Fokus ERP (m/w/d),Senacor Technologies AG,"Berlin, Bonn, Frankfurt, Hamburg, München, Nürnberg, Wien",56000,89000,7,Business analyst,Senior
12358417,(Senior) Kreditanalyst – Projektfinanzierung Erneuerbare Energien m/w/d,DZ BANK AG,"Düsseldorf, Koblenz",56000,85000,7,,Senior
11764301,Product Owner - Data Science / Machine Learning (f/m/x),ZEISS,München,,,3,Machine Learning Engineer,
12242973,(Junior / Senior) IT-Security Manager* / Cyber-Security-Consultant* / Experte* für Informationssicherheit,NEW YORKER,Braunschweig,,,14,,Junior
12234309,Analyst Projektcontrolling (m/w/d),TraceTronic GmbH,"Dresden, Deutschland",37000,56000,1,,
12327653,Duales Studium: Business Administration B.A. (m/w/d) Start: 1.8.2025,Team Beverage AG,Bremen,,,14,,
12386453,Digital Projektmanager*in mit Fokus auf Data (m/w/d),Axxum GmbH,"Wuppertal, Stuttgart, Köln, Hamburg",42000,72000,3,,
12358386,Senior Business Analyst - Dimension Land (m/w/d),BWI GmbH,"Nürnberg, Frankfurt, Hamburg, München, Ulm, Berlin, Bonn, Leipzig",54000,89000,7,Business analyst,Senior
11925438,Logopäde/in gesucht in Moabit. Praxis mit Luxury Award aus New York,Sprechfreiheit GmbH,Berlin,48000,72000,14,,
12450059,Managing Partner Data Strategy / Data Driven Marketing (m/w/d),Publicis Media GmbH,Düsseldorf,80000,100000,3,,
12383315,Anwendungsberater EDM & IoT (m/w/d)*,GISA GmbH,Halle,44000,62000,14,,
12234889,Elektroniker (w|m|d) für die Instandhaltung in der Stromversorgung im Netzbetrieb,NGN NETZGESELLSCHAFT NIEDERRHEIN MBH,Krefeld,32000,43000,14,,
12233254,Chemikant / Chemiefacharbeiter / Chemielaborant als Anlagenführer (m/w/d),"GHC Gerling, Holz & Co. Handels GmbH",Hamburg,48000,54000,14,,
12233239,Elektroniker (w|m|d) für Instandhaltung der Stromversorgung und des technischen Messstellenbetriebs,NGN NETZGESELLSCHAFT NIEDERRHEIN MBH,Krefeld,34000,46000,14,,
12274309,(Senior) Kreditanalyst (m/w/d),DZ HYP,Münster,60000,80000,7,,Senior
12355149,Data Manager (m/w/d),Sirius Facilities GmbH,Berlin,45000,63000,7,,
12382762,Team Lead Data Science Engineering (m/w/d),Deichmann SE,Essen,81000,105000,3,Data engineer,Lead
9233895,Laborant / CTA / BTA (m/w/d) instrumentelle Analytik / Messtechnik,Eurofins NDSC Food Testing Germany GmbH,Hamburg,30000,44000,14,,
12206509,Lead Consultant Public Sector (w/m/x),NTT DATA Deutschland SE,"Ettlingen, Frankfurt a. M., Hamburg, Köln, München, Stuttgart, Wolfsburg, deutschlandweit, Erfurt",75000,120000,21,,Lead
12450652,"Data Governance Manager*in (in Teilzeit, bis 25 Stunden/Woche, befristet für 1 Jahr)",Union Investment,Hamburg,,,3,,
12415064,(Senior) Business Analyst (d/w/m),KFW DEG - Deutsche Investitions- und Entwicklungsgesellschaft mbH,Köln,61000,88000,7,Business analyst,Senior
12223893,Senior Cloud Security & Compliance Engineer (m/w/d),SozialBank,Köln,55000,85000,14,,Senior
12349395,Senior Business Analyst (m/w/d) Schwerpunkt ERP-Systeme,hagebau IT GmbH,"Soltau, bundesweit",51000,71000,7,Business analyst,Senior
12447785,Data Lake & Analytics Systemmanager (m/w/d),Techniker Krankenkasse,Hamburg,5702,6180,4,,
12422678,Team Lead Data Activation (m/w/d) - Remote möglich,E. Breuninger GmbH & Co.,Stuttgart,81000,106000,7,,Lead
12461143,IT Security Engineer (m/w/d),Michael Page,Stuttgart,,,2,,
12345534,(Senior) Analyst Value Add (m/w/d) – Real Estate Private Equity,HIH Invest Real Estate GmbH,Hamburg,57000,79000,7,,Senior
12221193,Softwaretester (m/w/d),Rheinmetall Electronics GmbH,Bremen,46000,72000,14,,
12193990,Chemielaboranten (m/w/d) im Bereich Labor,Nyrstar Stolberg GmbH,Stolberg,,,21,,
12215822,Mitarbeiter (m/w/d) Service Desk Support,PROSOZ Herten GmbH,Herten (Ruhrgebiet),35000,47000,21,,
12180607,Mitarbeiter/in First Level Support (m/w/d),Zoth GmbH & Co KG,"Westernohe, Rennerod",27000,42000,7,,
12211733,Business Manager Digital Experience & Analytics (m/w/d),Deutsche Apotheker- und Ärztebank eG - apoBank,Düsseldorf,57000,77000,21,,
11860370,Master Data Governance Manager (m/w/d),ZEISS,Jena,,,7,,
12408415,Know Your Customer (KYC) Officer (m/w/d),Amadeus Fire AG,"Frankfurt, Hamburg",48000,62000,14,,
12249764,IT Security Engineer (m/w/d) - Network Security Engineer,Ratbacher GmbH,"Würzburg, Frankfurt am Main",47000,69000,14,,
12245067,IT-Sicherheitsbeauftragter (m/w/d) - Information Security Specialist (m/w/d),Ratbacher GmbH,"Dortmund, Frankfurt, Berlin, Ludwigsburg, Dresden",55000,81000,14,,
12204764,Ausbildung zum Logopäden (w/m/d),Asklepios Stadtklinik Bad Wildungen,Bad Wildungen,,,21,,Intern
11806335,T4 Data Center Site Operations Manager (f/m/d),SAP SE,"Walldorf, DE, 69190",52000,83000,6,,
11646224,Logopäden (m/w/d) Neuropädiatrie in Vogtareuth,Schön Klinik Gruppe,Vogtareuth,,,7,,
12181522,Senior SOC Analyst - Threat Detection & Response (f/m/d) Delos Cloud,SAP SE,"Walldorf, DE, 69190",52000,82000,7,,Senior
12192171,"Logopäde, Sprachtherapeut (m/w/d) in Bad Aibling",Schön Klinik Gruppe,Bad Aibling,,,7,,
12210275,Chemielaborant / Chemisch-technischer Assistent (CTA) (m/w/d) Qualitätssicherung,STOCKMEIER Chemie GmbH & Co. KG,Bielefeld,30000,48000,21,,
9129627,Elektroniker als Servicetechniker Deutschland (m/w/d),KNAPP Deutschland GmbH,bundesweit,40000,56000,21,,
12372370,"Senior Expert for Life Cycle Assessment Data for Industrial Supply Systems (Electricity, Waste, Metals, Cement, Fuels)",Carbon Minds GmbH,Köln,73000,86000,6,,Senior
12369980,(Senior) Developer im Bereich IT Data & Analytics (w/m/d),Apleona GmbH,"Neu-Isenburg, Berlin",50,80,6,,Senior
11081097,Medizinisch-Technischer Laboratoriumsassistent / MTLA / MTA / BTA  (m/w/d),Pathologisches Institut der Ludwig-Maximilians-Universität München,München,,,21,,
12327293,Elektroniker (m/w/d) für Instandhaltung und Betriebstechnik,DIS AG,Reutlingen,,,14,,
12334941,Data Center Manager (m/w/d) Site Manager Rechenzentrum,NTT Global Data Centers EMEA GmbH,Unterschleißheim,2684,6135,7,,
12372946,Master Data Manager (m/w/d),Seeberger GmbH,Ulm,45000,63000,7,,
12205012,Elektroniker / Elektriker als Servicetechniker m/w/d,SPIE Building Technology Automation & Traffic GmbH,"Großraum Stuttgart, Düsseldorf, Augsburg",35000,58000,21,,
12329323,Senior Business Analyst und Prozessmanager (m/w/d),Hamburger Verkehrsverbund GmbH,Hamburg,52000,78000,14,Business analyst,Senior
12406646,Senior Financial Analyst im Corporate Accounting (m/w/d),Hubert Burda Media,"München, Offenburg",56500,89500,14,,Senior
