id,title,company,city,salary_min,salary_max,days_posted
12314552,"Solutions Engineer job at Qdrant in Berlin, BERLIN",Qdrant Solutions GmbH,"Berlin, Germany",44.000,65.000,14
12331403,Senior Machine Learning Engineer,Zendesk GmbH,Germany - Berlin - Office,50.000,70.000,14
12087182,Scientific Consultant - Neuroimaging (m/f/d),NIRx Medizintechnik GmbH,Berlin,41.000,59.000,4
12265890,Content Quality Administrator (Working student) - (m/f/d),ResearchGate GmbH,"Berlin, Germany",41.000,59.000,7
12254065,Senior Consensus Engineer,IOTA Stiftung,Berlin,48.000,67.000,7
12334477,"Senior Consensus Engineer job at IOTA Foundation in Berlin, BERLIN",IOTA Stiftung,"Berlin, Germany",46.000,67.000,7
12410606,Senior PR & Social Media Manager (English native + French/German) (m/w/d),CoachHub GmbH,"Berlin, Germany",34.000,50.000,7
12261944,"Tenure Track Scientist (m/f/div) on ""Integrated Impact Assessment Modeling for Living Labs"" Reference No. IAT-T01-2025",Leibniz-Zentrum für Agrarlandschaftsforschung (ZALF) e. V.,"Müncheberg, Germany",37.000,55.000,7
12308813,Data Scientist (m/w/d) im Finanzbereich (Document Understanding),BMS Corporate Solutions GmbH,"Düsseldorf, Home-Office",55.000,76.000,1
11713765,Data Scientist / KI-Expert:in im Team Advanced Analytics,Vonovia,bundesweit,50.000,78.000,7
12423930,Cloud Developer:in / Senior Machine Learning Engineer (d/m/w),Haufe Akademie GmbH & Co. KG,"Freiburg im Breisgau, Home-Office",56.000,87.000,7
12422668,Sales Account Executive (m/f/x),MYJOVE CORPORATION,"DACH-Region, Home-Office",56.000,87.000,7
